,GSM,GSE,Input,Output
5980,,,ChIP-seq against eGFP-egl-5 in L3 larva worms. strain OP54 (unc-119(ed3) III; wgIs54) whole organism L3 larva genetically modified using bombardment = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: egl-5 - Genome assembly: ce11,ce10 - Biosample term name: whole organism - Project: modENCODE - Organism: Caenorhabditis elegans - Life stage: L3 larva - Age: unknown - Age units: None - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: cofactor $"
4844,GSM822305,,"datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell description: mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis; treatment: None; treatment description: No special treatment or protocol applies; antibody antibodydescription: Rabbit polyclonal. Antibody Target: CTCF; antibody targetdescription: CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.; antibody vendorname: Millipore; antibody vendorid: 07-729; controlid: wgEncodeEH000589; labversion: baseAlignCounts.pl v 1,fseq v 1.84, iff_MCF7,p-value cutoff: 0.05; replicate: 1,2; antibody targetdescription: CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.; antibody vendorname: Millipore; antibody vendorid: 07-729; controlid: MCF-7/Input; labversion: align_on_cluster_bwa.pl v 1; replicate: 1; replicate description: tier 1 CTCF ChIP-seq on human MCF-7 MCF-7 originated from MCF-7 mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis; grown under serum starvation conditions then switched to normal serum levels = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: CTCF - Genome assembly: GRCh38,hg19 - Biosample term name: MCF-7 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 69 - Age units: year - Sex: female - Ethnicity: Caucasian - Health status: breast cancer (adenocarcinoma) - Classification: cell line - Investigated as: transcription factor $"
775,,,"Proteogenomic mapping of K562 mitochondria with in-gel protocol K562 mitochondrial fraction leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC = ",Assay name: protein sequencing by tandem mass spectrometry assay - Assay type: Proteomics - Target of assay: None - Genome assembly: hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: None $
3913,GSM772953,,"sample alias: BioSam 131; sample common name: CD4+ CD25int CD127+ Tmem Primary Cells; donor_health_status: presumed normal; molecule: genomic DNA; disease: presumed normal; markers: CD4+ T cell; passage_if_expanded: NA; cell_type: CD25int CD127+ Tmem; donor_ethnicity: NA; donor_sex: Unknown; biomaterial_type: Primary Cell; donor_id: Donor 62; biomaterial_provider: Dana Farber; donor_age: NA; extraction_protocol_sonication_cycles: 1; chip_protocol_chromatin_amount: standard; extraction_protocol: cell/nuclei lysis; experiment_type: ChIP-Seq Input; chip_protocol: Input; extraction_protocol_type_of_sonicator: Branson Design description: Human Chromatin IP REMC Sequencing on Illumina; Library name: DNA_Lib 733; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FBroad%2FEXPERIMENT%2FEDACC.8643; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FBroad%2FSAMPLE%2FEDACC.9457; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   effector memory CD4-positive, alpha-beta T cell CD25int, CD127+ memory T cells are one of CD4+ T cell subsets that were purified by microbeads, LS column and FACS. Cells came from a healthy donor provided by Dana Farber Cancer Institute. = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: effector memory CD4-positive, alpha-beta T cell - Project: Roadmap - Organism: Homo sapiens - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: healthy - Classification: primary cell - Investigated as: None $"
12354,,,Input ChIP-seq in L3 larva worms. strain OP217 (unc-119(ed3) III; ddIs172) whole organism L3 larva genetically modified using bombardment = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: ce11,ce10 - Biosample term name: whole organism - Project: modENCODE - Organism: Caenorhabditis elegans - Life stage: L3 larva - Age: unknown - Age units: None - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $"
11264,,GSE91670,eCLIP experiment on K562 against FMR1 K562 = ,"Assay name: eCLIP - Assay type: RNA binding - Target of assay: FMR1 - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: RNA binding protein $"
15975,,,HudsonAlpha DNA Methylation Array of spleen spleen female adult (53 years) = ,Assay name: DNA methylation profiling by array assay - Assay type: DNA methylation - Target of assay: None - Genome assembly: None - Biosample term name: spleen - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $
5743,,,ChIP-seq against eGFP-dpy-27 in mixed stage (embryonic) worms. strain OP32 (unc-119(ed3) III; wgIs32) whole organism mixed stage (embryo) genetically modified using bombardment = ,Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: dpy-27 - Genome assembly: None - Biosample term name: whole organism - Project: modENCODE - Organism: Caenorhabditis elegans - Life stage: mixed stage (embryonic) - Age: unknown - Age units: None - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $
794,,GSE95951, GM23338 originated from GM23248 These are induced pluripotent stem cells (iPSC) created from the PGP1 donor from the Personal Genome Project (PGP). = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K79me2 - Genome assembly: GRCh38,hg19 - Biosample term name: GM23338 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: None - Classification: cell line - Investigated as: histone,broad histone mark $"
6601,GSM773005,,"sample alias: 231; sample common name: Adult Kidney; collection_method: Surgery; donor_health_status: NL kidney,right kidney resection for RCC; molecule: genomic DNA; disease: NL kidney,right kidney resection for RCC; tissue_type: Adult Kidney; donor_ethnicity: Caucasian; donor_sex: Male; biomaterial_type: Primary Tissue; tissue_depot: Kidney; donor_id: 153; biomaterial_provider: MGH; donor_age: 50.0 Years; chip_protocol_bead_type: Protein A-Sepharose 4B; chip_antibody: H3K4me3; chip_protocol_chromatin_amount: 0.5 to 3 million cells; extraction_protocol: cell/nuclei lysis; chip_protocol_antibody_amount: ~1 ug; chip_protocol_bead_amount: 10 ul bed volume; chip_protocol: Bernstein_BROAD_ENCODE_protocol; extraction_protocol_sonication_cycles: 1; chip_antibody_catalog: 07-473; chip_antibody_provider: Millipore; chip_antibody_lot: DAM1644057; experiment_type: Histone H3K4me3; extraction_protocol_type_of_sonicator: Branson  kidney male adult (50 years) Human primary kidney tissue obtained from a healthy 50 year old Caucasian male donor. Donor has right kidney resection due to renal cell carcinoma. Sample was obtained through surgery from MGH Pathology department. = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K4me3 - Genome assembly: GRCh38,hg19 - Biosample term name: kidney - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 50 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,narrow histone mark $"
1899,,,"Proteogenomic mapping of K562 membrane with in-gel protocol K562 membrane fraction leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC = ",Assay name: protein sequencing by tandem mass spectrometry assay - Assay type: Proteomics - Target of assay: None - Genome assembly: hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: None $
7524,,GSE88589,"shRNA knockdown against ZRANB2 in K562 cells followed by RNA-seq. (ZRANB2 BGKLV13) K562 genetically modified using RNAi RNA-seq on K562 cells treated with an shRNA knockdown against ZRANB2.(ZRANB2_BGKLV13_12),RNA-seq on K562 cells treated with an shRNA knockdown against ZRANB2.(ZRANB2_BGKLV13_11) = ","Assay name: shRNA knockdown followed by RNA-seq - Assay type: Transcription - Target of assay: ZRANB2 - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: RNA binding protein,transcription factor $"
13600,,GSE127082,RNA-seq on K562 cells treated by CRISPR interference targeting SRF. K562 genetically modified using CRISPR = ,"Assay name: CRISPRi followed by RNA-seq - Assay type: Transcription - Target of assay: SRF - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: transcription factor $"
12725,GSM1006893,,"datatype: ChipSeq; datatype description: Chromatin IP Sequencing; antibody antibodydescription: Rabbit polyclonal. Antibody Target: CTCF; antibody targetdescription: CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.; antibody vendorname: Millipore; antibody vendorid: 07-729; controlid: wgEncodeEH003441; labversion: baseAlignCounts.pl v 1,p-value cutoff: 0.05,fseq v 1.84, iff_D721; replicate: 1,2; cell sex: U; antibody: CTCF; antibody antibodydescription: rabbit polyclonal. Antibody Target: CTCF; antibody targetdescription: CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.; antibody vendorname: Millipore; antibody vendorid: 07-729; controlid: wgEncodeEH003441; labversion: baseAlignCounts.pl v 1 CTCF ChIP-seq on human Medullo D721Med medulloblastoma (aka D721), surgical resection from a patient with medulloblastoma as described by Darrell Bigner (1997) = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: CTCF - Genome assembly: GRCh38,hg19 - Biosample term name: D721Med - Project: ENCODE - Organism: Homo sapiens - Life stage: child - Age: 2 - Age units: year - Sex: male - Ethnicity: None - Health status: medulloblastoma - Classification: cell line - Investigated as: transcription factor $"
11806,GSM906401,,"sample alias: BMP4-09; sample common name: H1 BMP4 Derived Trophoblast Cultured Cells; molecule: genomic DNA; disease: None; biomaterial_provider: James Thomson Laboratory; biomaterial_type: Cell Line; line: H1; lineage: Embryonic Stem Cell; differentiation_stage: Embryonic stem cell differentiated into trophoblast by treatment with BMP4; differentiation_method: H1 cells were cultured in mTeSR1 medium without bFGF containing 50ng/mL BMP4 for 5 days; passage: 31; medium: mTeSR1; Sex: Male; batch: BMP4-9; experiment_type: Histone H3K36me3; extraction_protocol: See http://bioinformatics-renlab.ucsd.edu/RenLabChipProtocolV1.pdf; extraction_protocol_type_of_sonicator: Biorupter; extraction_protocol_sonication_cycles: 80; chip_protocol: See http://bioinformatics-renlab.ucsd.edu/RenLabChipProtocolV1.pdf; chip_protocol_chromatin_amount: 500 micrograms; chip_protocol_bead_type: magnetic anti-rabbit; chip_protocol_bead_amount: 33,500,000; chip_protocol_antibody_amount: 5 micrograms; chip_antibody: H3K36me3; chip_antibody_provider: Abcam; chip_antibody_catalog: ab9050; chip_antibody_lot: 707946  trophoblast cell originated from H1 Human embryonic stem cells received from the James Thomson laboratory. Cells are from the H1 line and are differentiated into trophoblast cells by culturing in mTeSR1 medium without bFGF containing 50ng/mL BMP4 for 5 days. = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K36me3 - Genome assembly: GRCh38,hg19 - Biosample term name: trophoblast cell - Project: Roadmap - Organism: Homo sapiens - Life stage: embryonic - Age: unknown - Age units: None - Sex: male - Ethnicity: None - Health status: healthy - Classification: in vitro differentiated cells - Investigated as: histone,broad histone mark $"
6901,,,"Input control for ChIP-seq on transgenic flies expressing Xbp1-eGFP fusion proteins. VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to Xbp1 = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 0-24 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $"
12157,GSM773001,,"sample alias: 231; sample common name: Adult Kidney; collection_method: Surgery; donor_health_status: NL kidney,right kidney resection for RCC; molecule: genomic DNA; disease: NL kidney,right kidney resection for RCC; tissue_type: Adult Kidney; donor_ethnicity: Caucasian; donor_sex: Male; biomaterial_type: Primary Tissue; tissue_depot: Kidney; donor_id: 153; biomaterial_provider: MGH; donor_age: 50.0 Years; chip_protocol_bead_type: Protein A-Sepharose 4B; chip_antibody: H3K4me1; chip_protocol_chromatin_amount: 0.5 to 3 million cells; extraction_protocol: cell/nuclei lysis; chip_protocol_antibody_amount: ~1 ug; chip_protocol_bead_amount: 10 ul bed volume; chip_protocol: Bernstein_BROAD_ENCODE_protocol; extraction_protocol_sonication_cycles: 1; chip_antibody_catalog: ab8895; chip_antibody_provider: Abcam; chip_antibody_lot: 659352; experiment_type: Histone H3K4me1; extraction_protocol_type_of_sonicator: Branson  kidney male adult (50 years) Human primary kidney tissue obtained from a healthy 50 year old Caucasian male donor. Donor has right kidney resection due to renal cell carcinoma. Sample was obtained through surgery from MGH Pathology department. = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K4me1 - Genome assembly: GRCh38,hg19 - Biosample term name: kidney - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 50 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,broad histone mark $"
5876,GSM945314,,lab: UW; lab description: Stamatoyannopoulous - University of Washington; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell: SAEC; cell organism: human; cell description: small airway epithelial cells; cell karyotype: normal; cell lineage: endoderm; cell sex: U; antibody: Input; antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called.; treatment: None; treatment description: No special treatment or protocol applies; control: std; control description: Standard input signal for most experiments.; controlid: wgEncodeEH000473; labexpid: DS11550; labversion: Bowtie 0.12.5; replicate: 1 Control ChIP-seq on human SAEC bronchial epithelial cell small airway epithelial cells = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: bronchial epithelial cell - Project: ENCODE - Organism: Homo sapiens - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: unknown - Classification: primary cell - Investigated as: None $"
4383,,,"Input ChIP-seq in L4 larva worms. strain OP217 (unc-119(ed3) III; ddIs172) whole organism L4 larva genetically modified using bombardment Transgenic C. elegans line, stably expressing a C-terminal GFP-FLAG tag fused to ALY-2 = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: ce11,ce10 - Biosample term name: whole organism - Project: modENCODE - Organism: Caenorhabditis elegans - Life stage: L4 larva - Age: unknown - Age units: None - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $"
15924,,GSE139751, sigmoid colon male adult (37 years) EnTEX: Colon - Sigmoid = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K27ac - Genome assembly: GRCh38,hg19 - Biosample term name: sigmoid colon - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 37 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,narrow histone mark $"
9917,,,"This is the ChIP-seq control of transgenic worms expressing NFYA-1-eGFP fusion proteins. strain OP404 (unc-119(tm4063) III; wgIs404) whole organism hermaphrodite late embryo genetically modified using bombardment Transgenic C. elegans line, stably expressing a C-terminal GFP-FLAG tag fused to NFYA-1 = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: ce11,ce10 - Biosample term name: whole organism - Project: modERN - Organism: Caenorhabditis elegans - Life stage: late embryonic - Age: unknown - Age units: None - Sex: hermaphrodite - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $"
6401,,GSE127124,RNA-seq on K562 cells treated by CRISPR interference targeting SNW1. K562 genetically modified using CRISPR = ,"Assay name: CRISPRi followed by RNA-seq - Assay type: Transcription - Target of assay: SNW1 - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: cofactor $"
3648,,GSE91945,eCLIP control experiment on HepG2 against HNRNPUL1 HepG2 = ,"Assay name: eCLIP - Assay type: RNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: HepG2 - Project: ENCODE - Organism: Homo sapiens - Life stage: child - Age: 15 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: hepatocellular carcinoma - Classification: cell line - Investigated as: None $"
1629,,,"ChIP-seq on transgenic flies expressing fd102C-eGFP fusion proteins. The IP was performed using an anti-GFP antibody. VK00033 whole organism embryo (2-6 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to fd102C = ",Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: dm6 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 2-6 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $
15591,,GSE105272,POLR2A ChIP-seq on human adrenal gland adrenal gland female adult (53 years) = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: POLR2A - Genome assembly: GRCh38,hg19 - Biosample term name: adrenal gland - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: RNA polymerase complex $"
5315,,GSE96351, thyroid gland male adult (37 years) EnTEX: Thyroid = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K27me3 - Genome assembly: GRCh38,hg19 - Biosample term name: thyroid gland - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 37 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,broad histone mark $"
9388,,GSE88354,The libraries contained in this Experiment come from tissue sub-sections of a 51 year old female's skin of the lower leg tissue section obtained from GTEx. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size. lower leg skin female adult (51 year) Skin of the lower leg aliquot received by the Gingeras lab to conduct RNA-Seq assays on. = ,"Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: lower leg skin - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 51 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $"
12277,,,HudsonAlpha human SK-MEL-5 Genotype SK-MEL-5 An immortalized malignant melanoma cell line derived from a metastatic axillary node of a 24 year old female. = ,Assay name: comparative genomic hybridization by array - Assay type: Genotyping - Target of assay: None - Genome assembly: None - Biosample term name: SK-MEL-5 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 24 - Age units: year - Sex: female - Ethnicity: None - Health status: Melanoma - Classification: cell line - Investigated as: None $
12251,GSM669967,,"sample alias: 196; sample common name: HUES64 Cell Line; lineage: embrionic stem cell; medium: KSR; molecule: genomic DNA; disease: none; passage: NA; line: HUES64; differentiation_method: NA; batch: ES cell HUES_64-1; biomaterial_type: Cell Line; differentiation_stage: undifferentiated; Sex: Unknown; biomaterial_provider: Harvard University; chip_protocol_bead_type: Protein A-Sepharose 4B; chip_antibody: H3K4Me3; chip_protocol_chromatin_amount: 10 million cells; extraction_protocol: SDS lysis; chip_protocol_antibody_amount: 2-15 ug; chip_protocol_bead_amount: 70 ul bed volume; chip_protocol: Bernstein_BROAD_ENCODE_protocol; extraction_protocol_sonication_cycles: 1; chip_antibody_catalog: 07-473; chip_antibody_provider: Millipore; chip_antibody_lot: DAM1623866; experiment_type: Histone H3K4me3; extraction_protocol_type_of_sonicator: Bioruptor  HUES64 Human embryonic stem cell line with a normal 46XY karyotype. The stem cells were derived from human blastocysts and are strongly positive for a number of molecular markers of undifferentiated pluripotent human stem cells, including OCT4, and NANOG. [PMCID:PMC3335201]. Cells were provided by Harvard University and maintained on KSR medium. = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K4me3 - Genome assembly: GRCh38,hg19 - Biosample term name: HUES64 - Project: Roadmap - Organism: Homo sapiens - Life stage: embryonic - Age: unknown - Age units: None - Sex: male - Ethnicity: None - Health status: healthy - Classification: cell line - Investigated as: histone,narrow histone mark $"
10432,,GSE96204,"Reverse Crosslink ControlChIP-seq on human MCF-7 (fragmentation date 03-05-14) MCF-7 MCF-7, mammary gland adenocarcinoma = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: MCF-7 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 69 - Age units: year - Sex: female - Ethnicity: Caucasian - Health status: breast cancer (adenocarcinoma) - Classification: cell line - Investigated as: None $"
13231,GSM1206890,,"strain: Hr46-GFP; developmental stage: Embryo 0-8; genotype: PBac{y[+]-attP-3B}VK00033; Sex: Unknown; transgene: Hr46 genomic coding region ChIP DNA; Antibody information listed below: official name: tgo mouse Crews;target name: tango;host: Mouse;antigen: unknown;clonal: Monoclonal;purified: Crude;company: Lab;catalog: Stephen Crews (http://www.unc.edu/~crews/SteveC.html);short description: Gift from Stephen Crews. ChIP-seq against pan in D. melanogaster whole organisms (embryonic, 0-8 hour) VK00033 whole organism embryo (0-8 hours) genetically modified using site-specific recombination = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: pan - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modENCODE - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 0-8 - Age units: hour - Sex: unknown - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $"
10863,GSM733677,,"lab: Broad; lab description: Bernstein - Broad Institute; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell organism: human; cell description: B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus; cell karyotype: normal; cell lineage: mesoderm; antibody antibodydescription: rabbit polyclonal. Antibody Target: H3K9ac; antibody targetdescription: Histone H3 (acetyl K9). As with H3K27ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.; antibody vendorname: abcam; antibody vendorid: ab4441; treatment: None; treatment description: No special treatment or protocol applies; control: std; control description: Standard input signal for most experiments.; controlid: wgEncodeEH000037; labversion: Illumina_GA2e and Illumina_GA2x; replicate: 1,2; softwareversion: ScriptureVPaperR3 H3K9ac ChIP-seq on human GM12878 GM12878 B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K9ac - Genome assembly: GRCh38,hg19 - Biosample term name: GM12878 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: unknown - Age units: None - Sex: female - Ethnicity: Caucasian - Health status: unknown - Classification: cell line - Investigated as: histone,narrow histone mark $"
11863,,,HudsonAlpha DNA Methylation Array of adipose tissue of omentum omental fat pad male adult (37 years) = ,Assay name: DNA methylation profiling by array assay - Assay type: DNA methylation - Target of assay: None - Genome assembly: None - Biosample term name: omental fat pad - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 37 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $
12366,GSM1010986,,"Design description: Whole Genome Shotgun Bisulfite Sequencing of Psoas Cells from Human STL003; Library name: methylC-seq_STL003PO-01a; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSD%2FEXPERIMENT%2FEDACC.13792; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSD%2FSAMPLE%2FEDACC.11875; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   psoas muscle male adult (34 years) Psoas muscle tissue from a 34 year old male Caucasian human with polysubstance abuse. Tissue provided by Shin Lin at Stanford University = ",Assay name: whole-genome shotgun bisulfite sequencing - Assay type: DNA methylation - Target of assay: None - Genome assembly: GRCh38 - Biosample term name: psoas muscle - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 34 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: healthy with polysubstance abuse - Classification: tissue - Investigated as: None $
14954,,,"ChIP-seq on transgenic flies expressing CG12744-eGFP fusion proteins. The IP was performed using an anti-GFP antibody. VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to CG12744 = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: CG12744 - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 0-24 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: other context $"
8146,,, strain YL622 (dve-1(tm4803)X) whole organism hermaphrodite 50 minutes post synchronization using egg bleaching genetically modified using mutagen treatment DeletionMutant = ,Assay name: RNA-seq - Assay type: Transcription - Target of assay: dve-1 - Genome assembly: None - Biosample term name: whole organism - Project: modERN - Organism: Caenorhabditis elegans - Life stage: unknown - Age: unknown - Age units: None - Sex: hermaphrodite - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $
16528,,GSE127591,ESRRA ChIP-seq on human MCF-7 MCF-7 = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: ESRRA - Genome assembly: GRCh38,hg19 - Biosample term name: MCF-7 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 69 - Age units: year - Sex: female - Ethnicity: Caucasian - Health status: breast cancer (adenocarcinoma) - Classification: cell line - Investigated as: transcription factor $"
8699,GSM927211,GSE37756,cell line: S2R+; orf encoding protein: CG6227; rip antibody: HA Immunoaffinity Resin (Sigma) RNA immunoprecipitation (RIP). RIP-seq targeting CG6227 in Drosophila S2R+ cells. strain Oregon-R S2R+ genetically modified using stable transfection treated with 0.35 mM copper(II) sulfate for 24 hours = ,Assay name: RIP-seq - Assay type: RNA binding - Target of assay: CG6227 - Genome assembly: dm3 - Biosample term name: S2R+ - Project: modENCODE - Organism: Drosophila melanogaster - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: transcription factor $
